---,Кон 1,Кон 2,Кон 3,Кон 4,Кон 5,Кон 6,Кон 7,Кон 8,Кон 9,Кон 10
Средний балл,4,"4,8","5,6",4,"3,3","6,2","7,8",6,"4,8","7,3"
Сумма баллов,24,24,28,20,20,37,39,30,29,44
Комплектность,100%,83%,83%,83%,100%,100%,83%,83%,100%,100%
Quality Rate,17%,33%,33%,17%,17%,67%,50%,33%,17%,67%
"Место ""Сумма баллов""",2,6,7,8,3,9,1,11,4,9
"Место ""Комплексность""",3,9,10,5,1,7,2,10,4,8
"Место ""QR""",2,2,3,5,2,4,1,6,2,4
"Очков за ""Сумма баллов""",91,55,45,36,82,27,100,9,67,11
"Очков за ""Комплексность""",80,20,10,60,100,40,90,10,63,13
"Очков за ""Quality Rate""",83,83,67,33,83,50,100,17,75,25
Итого Очков,861,501,389,426,876,355,970,109,674,144
Место в Рейтинге,3,5,7,6,2,8,1,10,4,9