№;Слова однословные;Частота однословные;Слова биграммы;Частота биграммы
1;трактор;23;купить трактор;6
2;купить;13;мини трактор;6
3;тракторы;13;рынок апк;5
4;лизинг;11;трактор мтз;5
5;мини;8;агроплощадке рынок;4
6;кредит;7;runmax rmx;3
7;купите;7;выгодно трактор;3
8;мтз;6;колесные тракторы;3
9;runmax;5;купите мини;3
10;апк;5;купить новые;3
11;б;5;выгодной цене;2
12;новые;5;выгодных условиях;2
13;рынок;5;купите минитрактор;2
14;агроплощадке;4;купить бизнес;2
15;выгодно;4;лизинг runmax;2
16;ип;4;мини тракторы;2
17;продайте;4;мтз беларус;2
18;rmx;3;продажа оборудования;2
19;беларус;3;продайте быстро;2
20;быстро;3;продайте выгодно;2
21;китайские;3;садовый трактор;2
22;колесные;3;трактор runmax;2
23;минитрактор;3;24 7;1
24;оборудования;3;31р 1шт;1
25;продажа;3;701 трактор;1
26;садовый;3;754 выгода;1
27;сельхозтехника;3;9.900 р;1
28;трактора;3;basak 2080;1
29;цене;3;caiman dako;1
30;basak;2;delafon sherwood;1
31;caiman;2;ensign хорошие;1
32;lovol;2;jacob delafon;1
33;банке;2;lovol tb;1
34;бизнес;2;runmax купить;1
35;выгодной;2;runmax лизинг;1
36;выгодных;2;tb 754;1
37;выкуп;2;xxiii агропромышленная;1
38;выставка;2;агропромышленная выставка;1
39;займы;2;агротехнологии 2023;1
40;краснодаре;2;анализ компании;1
41;лиц;2;ао росагролизинг;1
42;модели;2;банк делайте;1
43;недорого;2;банке зенит;1
44;оборудование;2;беларус 320;1
45;онлайн;2;бесплатная доставка;1
46;почта;2;бесплатных объявлений;1
47;производство;2;бизнес анализ;1
48;товаров;2;бу новое;1
49;тракторов;2;быстро трактор;1
50;условиях;2;ванной jacob;1
51;цены;2;выгода 180000р;1
52;0;1;выгодные условия;1
53;180000р;1;выгодный кредит;1
54;1шт;1;выкуп спецтехники;1
55;20;1;выкуп тракторов;1
56;2023;1;выставка агротехнологии;1
57;2080;1;группа компаний;1
58;24;1;делайте ставку;1
59;30;1;дешевый мини;1
60;31р;1;дизельный caiman;1
61;320;1;доска бесплатных;1
62;7;1;доставка продуктов;1
63;701;1;завод отопительного;1
64;754;1;кат официальный;1
65;8;1;керамзитоблоки стоимость;1
66;9.900;1;китайские колесные;1
67;dako;1;китайские трактора;1
68;delafon;1;китайские тракторы;1
69;ensign;1;компаний попова;1
70;jacob;1;краснодарском крае;1
71;otelz.com;1;кредиты онлайн;1
72;sherwood;1;купите дешевый;1
73;tb;1;купите садовый;1
74;xxiii;1;купля продажа;1
75;yavaptekeru;1;лизинг ао;1
76;автомобилей;1;лизинг транспорт;1
77;агропромышленная;1;лизинг юр;1
78;агротехнологии;1;любые цели;1
79;акция;1;магазин одежды;1
80;анализ;1;масштабные модели;1
81;ао;1;минитрактор купить;1
82;банк;1;минитрактор недорого;1
83;бесплатная;1;минитрактора беларус;1
84;бесплатных;1;минский завод;1
85;бу;1;модели автомобилей;1
86;ванной;1;модели цены;1
87;выгода;1;мраморные памятники;1
88;выгодные;1;мтз 8;1
89;выгодный;1;навесная щетка;1
90;выгодой;1;навесное оборудование;1
91;группа;1;надежные тракторы;1
92;делайте;1;низкой цене;1
93;дешевый;1;новые турецкие;1
94;дизельный;1;оао минский;1
95;диллер;1;оборудования бу;1
96;доска;1;одном сайте;1
97;доставка;1;онлайн магазин;1
98;завод;1;отопительного оборудования;1
99;запчасти;1;официальный диллер;1
100;зенит;1;перевозка тракторов;1
101;кат;1;площадке рынок;1
102;керамзитоблоки;1;получении 24;1
103;кировец;1;попова производство;1
104;компании;1;почта банк;1
105;компаний;1;почта банке;1
106;крае;1;предоставим лизинг;1
107;краснодарском;1;продается оао;1
108;кредитов;1;продай выгодно;1
109;кредиты;1;производство сельхозтехники;1
110;купля;1;производство шестерен;1
111;лекарства;1;редукторов насосов;1
112;лицам;1;росбанк лизинг;1
113;любые;1;садовый мини;1
114;магазин;1;сельскохозяйственных работ;1
115;майкопе;1;сервис yavaptekeru;1
116;масштабные;1;скидкой 20;1
117;мебель;1;списание кредитов;1
118;минитрактора;1;срочные займы;1
119;минский;1;трактор basak;1
120;модель;1;трактор caiman;1
121;мраморные;1;трактор б;1
122;навесная;1;трактор кировец;1
123;навесное;1;трактор купить;1
124;надежные;1;трактор недорого;1
125;насосов;1;трактора lovol;1
126;низкой;1;трактора runmax;1
127;новое;1;трактора хам;1
128;оао;1;тракторы basak;1
129;объявлений;1;тракторы ensign;1
130;одежды;1;тракторы кат;1
131;одном;1;тракторы купить;1
132;отопительного;1;тракторы станислав;1
133;официальный;1;требуется модель;1
134;памятники;1;турецкие тракторы;1
135;перевозка;1;турецкий садовый;1
136;площадке;1;уборки навесная;1
137;покупка;1;физ лиц;1
138;покупкой;1;хорошие цены;1
139;получении;1;хотите купить;1
140;помощь;1;цели помощь;1
141;попова;1;шестерен редукторов;1
142;предоставим;1;щетка мтз;1
143;продается;1;юр лицам;1
144;продай;1;юридических лиц;1
145;продуктов;1;NA;NA
146;р;1;NA;NA
147;работ;1;NA;NA
148;раковины;1;NA;NA
149;редукторов;1;NA;NA
150;росагролизинг;1;NA;NA
151;росбанк;1;NA;NA
152;россии;1;NA;NA
153;ростове;1;NA;NA
154;сайте;1;NA;NA
155;сельскохозяйственных;1;NA;NA
156;сельхозпродукты;1;NA;NA
157;сельхозтехники;1;NA;NA
158;сервис;1;NA;NA
159;скидкой;1;NA;NA
160;спецтехника;1;NA;NA
161;спецтехники;1;NA;NA
162;списание;1;NA;NA
163;срочные;1;NA;NA
164;ставку;1;NA;NA
165;станислав;1;NA;NA
166;стоимость;1;NA;NA
167;транспорт;1;NA;NA
168;требуется;1;NA;NA
169;турецкие;1;NA;NA
170;турецкий;1;NA;NA
171;уборки;1;NA;NA
172;условия;1;NA;NA
173;физ;1;NA;NA
174;хам;1;NA;NA
175;хорошие;1;NA;NA
176;хотите;1;NA;NA
177;цели;1;NA;NA
178;шестерен;1;NA;NA
179;щетка;1;NA;NA
180;юр;1;NA;NA
181;юридических;1;NA;NA
182;юрлиц;1;NA;NA
183;NA;1;NA;NA
